week_start,signal_date,entry_date,exit_date,code,name,signal_mode,quantity,entry_price,exit_price,exit_reason,holding_days,gross_cost,buy_fee,sell_fee,sell_tax,net_proceeds,pnl_krw,pnl_pct
2020-01-06,2020-01-03,2020-01-06,2020-01-06,180640,한진칼,fallback,57,38107.62,39242.9984,take_profit,0,2172134.34,325.82,335.53,3355.28,2233160.11,60699.95,2.7941
2020-01-06,2020-01-03,2020-01-06,2020-01-10,139480,이마트,fallback,18,121524.3,119476.1,friday_liquidation,4,2187437.4,328.12,322.59,3225.85,2147021.36,-40744.16,-1.8624
2020-01-06,2020-01-03,2020-01-06,2020-01-10,000120,CJ대한통운,fallback,15,147529.5,143471.3,friday_liquidation,4,2212942.5,331.94,322.81,3228.1,2148518.59,-64755.86,-2.9258
2020-01-06,2020-01-03,2020-01-06,2020-01-08,011210,현대위아,fallback,49,47809.56,45409.9982,stop_loss,2,2342668.44,351.4,333.76,3337.63,2221418.51,-121601.33,-5.1899
2020-01-13,2020-01-10,2020-01-13,2020-01-14,010120,LS ELECTRIC,fallback,285,10362.072,10670.7996,take_profit,1,2953190.52,442.98,456.18,4561.77,3036159.93,82526.44,2.7941
2020-01-13,2020-01-10,2020-01-13,2020-01-14,021240,코웨이,fallback,33,89017.8,91669.9963,take_profit,1,2937587.4,440.64,453.77,4537.66,3020118.45,82090.41,2.7941
2020-01-13,2020-01-10,2020-01-13,2020-01-14,000080,하이트진로,fallback,109,27355.47,28170.4989,take_profit,1,2981746.23,447.26,460.59,4605.88,3065517.91,83324.42,2.7941
2020-01-20,2020-01-17,2020-01-20,2020-01-21,009420,한올바이오파마,fallback,274,33256.65,31587.4987,stop_loss,1,9112322.1,1366.85,1298.25,12982.46,8640693.95,-472995.0,-5.1899
2020-02-03,2020-01-31,2020-02-03,2020-02-03,090430,아모레퍼시픽,fallback,5,181536.3,186944.9925,take_profit,0,907681.5,136.15,140.21,1402.09,933182.67,25365.01,2.7941
2020-02-03,2020-01-31,2020-02-03,2020-02-03,285130,SK케미칼,fallback,28,37103.4192,38208.8785,take_profit,0,1038895.74,155.83,160.48,1604.77,1068083.35,29031.78,2.7941
2020-02-03,2020-01-31,2020-02-03,2020-02-04,017960,한국카본,fallback,145,7401.48,7621.9997,take_profit,1,1073214.6,160.98,165.78,1657.78,1103366.39,29990.81,2.7941
2020-02-03,2020-01-31,2020-02-03,2020-02-07,006280,녹십자,fallback,8,124024.8,122475.5,friday_liquidation,4,992198.4,148.83,146.97,1469.71,978187.32,-14159.91,-1.4269
2020-02-03,2020-01-31,2020-02-03,2020-02-03,282330,BGF리테일,fallback,6,165033.0,169949.9932,take_profit,0,990198.0,148.53,152.95,1529.55,1018017.45,27670.92,2.7941
